Freq,Intensity
224.173769345,0.0
224.174882926,0.0
224.175996507,0.0
224.177110088,0.0
224.178223669,0.0
224.17933725,0.0
224.180450831,0.0
224.181564412,0.0
224.182677993,0.0
224.183791574,0.0
224.184905155,0.0
224.186018736,0.0
224.187132317,0.0
224.188245899,0.0
224.18935948,0.0
224.190473061,0.0
224.191586642,0.0
224.192700223,0.0
224.193813804,0.0
224.194927385,0.0
224.196040966,0.0
224.197154547,0.0
224.198268128,0.0
224.199381709,0.0
224.20049529,0.0
224.201608871,0.0
224.202722452,0.0
224.203836033,0.0
224.204949615,0.0
224.206063196,0.0
224.207176777,0.0
224.208290358,0.0
224.209403939,0.0
224.21051752,0.0
224.211631101,0.0
224.212744682,0.0
224.213858263,0.0
224.214971844,0.0
224.216085425,0.0
224.217199006,0.0
224.218312587,0.0
224.219426168,0.0
224.220539749,0.0
224.221653331,0.0
224.222766912,0.0
224.223880493,0.0
224.224994074,0.0
224.226107655,0.0
224.227221236,0.0
224.228334817,0.0
224.229448398,0.0
224.230561979,0.0
224.23167556,0.0
224.232789141,0.0
224.233902722,0.0
224.235016303,0.0
224.236129884,0.0
224.237243465,0.0
224.238357047,0.0
224.239470628,0.0
224.240584209,0.0
224.24169779,0.0
224.242811371,0.0
224.243924952,0.0
224.245038533,0.0
224.246152114,0.0
224.247265695,0.0
224.248379276,0.0
224.249492857,0.0
224.250606438,0.0
224.251720019,0.0
224.2528336,0.0
224.253947181,0.0
224.255060763,0.0
224.256174344,0.0
224.257287925,0.0
224.258401506,0.0
224.259515087,0.0
224.260628668,0.0
224.261742249,0.0
224.26285583,0.0
224.263969411,0.0
224.265082992,0.0
224.266196573,0.0
224.267310154,0.0
224.268423735,0.0
224.269537316,-108106179.49675448
224.270650897,123966096.07915
224.271764479,264099723.78823686
224.27287806,511766605.0855504
224.273991641,298253789.4932817
224.275105222,-105867264.71994492
224.276218803,-133990064.87587616
224.277332384,-49070882.62700519
224.278445965,-250719959.56069842
224.279559546,26063527.655974455
224.280673127,-133508444.17460786
224.281786708,-184761102.2072128
224.282900289,-366101795.8154667
224.28401387,130867848.88138504
224.285127451,155109831.3907133
224.286241032,-59768907.52297971
224.287354613,86159217.3600365
224.288468195,394287335.27498734
224.289581776,286468113.7157518
224.290695357,-403221904.24725866
224.291808938,-283566985.64294726
224.292922519,-4005379.3828922226
224.2940361,148995114.6120079
224.295149681,70724802.43308179
224.296263262,32169104.603984762
224.297376843,130495732.78288685
224.298490424,-16590473.692466026
224.299604005,-51367465.74243535
